Date,County,Sales (Dollars)
2016-11-01,cass,67170.06000000004
2016-11-01,cedar,33553.84000000004
2016-11-01,cerro gord,298983.7300000005
2016-11-01,cherokee,59453.14999999996
2016-11-01,chickasaw,18424.749999999993
2016-11-01,clarke,24592.080000000016
2016-11-01,clay,117751.05000000025
2016-11-01,clayton,39256.06000000005
2016-11-01,clinton,252336.74999999898
2016-11-01,crawford,58188.459999999905
2016-11-01,dallas,217251.99000000025
2016-11-01,davis,8804.519999999995
2016-11-01,decatur,9838.499999999995
2016-11-01,delaware,54853.309999999976
2016-11-01,des moines,208619.9500000007
2016-11-01,dickinson,180691.6700000001
2016-11-01,dubuque,570622.150000003
2016-11-01,emmet,45952.290000000045
2016-11-01,fayette,53880.12999999997
2016-11-01,floyd,67530.9999999999
2016-11-01,franklin,25906.76000000003
2016-11-01,fremont,2549.96
2016-11-01,greene,28471.35000000002
2016-11-01,grundy,14417.11999999999
2016-11-01,guthrie,13348.490000000003
2016-11-01,hamilton,42696.35999999992
2016-11-01,hancock,15822.539999999988
2016-11-01,hardin,127579.95999999999
2016-11-01,harrison,26167.400000000067
2016-11-01,henry,69602.31999999996
2016-11-01,howard,34246.24000000003
2016-11-01,humboldt,51437.41999999995
2016-11-01,ida,49679.97000000004
2016-11-01,iowa,70909.34999999987
2016-11-01,jackson,69069.62999999989
2016-11-01,jasper,83452.09000000011
2016-11-01,jefferson,53823.639999999985
2016-11-01,johnson,986654.7400000045
2016-11-01,jones,59583.01999999977
2016-11-01,keokuk,8509.78
2016-11-01,kossuth,95120.07000000007
2016-11-01,lee,181757.73000000013
2016-11-01,linn,1410830.6699999743
2016-11-01,louisa,12618.069999999983
2016-11-01,lucas,37566.880000000005
2016-11-01,lyon,44496.81000000003
2016-11-01,madison,54498.51000000001
2016-11-01,mahaska,78009.46000000018
2016-11-01,marion,153951.7199999997
2016-11-01,marshall,172049.77000000016
2016-11-01,mills,33413.61000000004
2016-11-01,mitchell,24929.490000000038
2016-11-01,monona,36646.05000000004
2016-11-01,monroe,27313.58000000003
2016-11-01,montgomery,40602.11999999996
2016-11-01,muscatine,178065.58999999956
2016-11-01,obrien,77256.22000000003
2016-11-01,osceola,17559.940000000006
2016-11-01,page,72617.82999999999
2016-11-01,palo alto,41549.520000000004
2016-11-01,plymouth,99790.72000000019
2016-11-01,pocahontas,21626.510000000017
2016-11-01,polk,3022615.2600000207
2016-11-01,pottawatta,501255.3400000046
2016-11-01,poweshiek,76599.52000000003
2016-11-01,ringgold,6743.440000000002
2016-11-01,sac,44928.270000000004
2016-11-01,scott,1059863.6900000046
2016-11-01,shelby,34434.95000000002
2016-11-01,sioux,80676.89000000004
2016-11-01,story,562835.1200000043
2016-11-01,tama,55130.93999999994
2016-11-01,taylor,7360.1399999999985
2016-11-01,union,63202.06999999979
2016-11-01,van buren,11887.759999999997
2016-11-01,wapello,197058.0299999996
2016-11-01,warren,160228.7000000002
2016-11-01,washington,84171.14
2016-11-01,wayne,8483.589999999993
2016-11-01,webster,245429.9100000002
2016-11-01,winnebago,40734.79000000003
2016-11-01,winneshiek,75616.60999999991
2016-11-01,woodbury,610770.940000003
2016-11-01,worth,15148.77999999999
2016-11-01,wright,36643.48000000001
2016-12-01,adair,28211.190000000013
2016-12-01,adams,5739.369999999998
2016-12-01,allamakee,68790.73999999986
2016-12-01,appanoose,45213.47999999999
2016-12-01,audubon,9931.660000000002
2016-12-01,benton,50898.649999999994
2016-12-01,black hawk,1019884.0999999988
2016-12-01,boone,129123.64000000004
2016-12-01,bremer,117854.09000000011
2016-12-01,buchanan,87026.88000000008
2016-12-01,buena vist,108571.30000000054
2016-12-01,butler,26941.13000000002
2016-12-01,calhoun,22179.85000000003
2016-12-01,carroll,152835.34000000017
2016-12-01,cass,73483.80999999997
2016-12-01,cedar,35533.79000000007
2016-12-01,cerro gord,441239.46000000235
2016-12-01,cherokee,52859.53000000002
2016-12-01,chickasaw,18391.97
2016-12-01,clarke,45747.519999999975
2016-12-01,clay,102364.66000000008
2016-12-01,clayton,45199.78000000002
2016-12-01,clinton,229258.14999999927
2016-12-01,crawford,77493.79999999984
2016-12-01,dallas,201157.18000000023
2016-12-01,davis,7942.729999999998
2016-12-01,decatur,16500.00999999998
2016-12-01,delaware,69608.88999999993
2016-12-01,des moines,261701.70000000036
2016-12-01,dickinson,127520.05000000041
2016-12-01,dubuque,539164.350000003
2016-12-01,emmet,45359.359999999986
2016-12-01,fayette,88742.55999999991
2016-12-01,floyd,79450.16999999993
2016-12-01,franklin,38096.08
2016-12-01,fremont,3944.7599999999993
2016-12-01,greene,36257.84000000005
2016-12-01,grundy,22792.27000000004
2016-12-01,guthrie,20016.71000000002
2016-12-01,hamilton,53943.39999999984
2016-12-01,hancock,37514.19000000001
2016-12-01,hardin,146640.0900000002
2016-12-01,harrison,33542.49000000006
2016-12-01,henry,75715.26999999997
2016-12-01,howard,45866.72999999995
2016-12-01,humboldt,38031.39000000002
2016-12-01,ida,40282.43999999996
2016-12-01,iowa,90275.21000000004
2016-12-01,jackson,78548.04999999986
2016-12-01,jasper,138931.6300000008
2016-12-01,jefferson,78254.69999999987
2016-12-01,johnson,875142.2100000002
2016-12-01,jones,63815.49999999955
2016-12-01,keokuk,10203.809999999994
2016-12-01,kossuth,145482.59000000023
2016-12-01,lee,235693.6099999997
2016-12-01,linn,1372362.9499999771
2016-12-01,louisa,12181.79999999998
2016-12-01,lucas,37851.73999999999
2016-12-01,lyon,54415.250000000015
2016-12-01,madison,72641.9400000001
2016-12-01,mahaska,74716.30000000008
2016-12-01,marion,139219.9800000001
2016-12-01,marshall,252520.52999999892
2016-12-01,mills,42584.370000000024
2016-12-01,mitchell,31919.80000000015
2016-12-01,monona,31830.950000000117
2016-12-01,monroe,23357.410000000018
2016-12-01,montgomery,55987.119999999915
2016-12-01,muscatine,222773.0699999993
2016-12-01,obrien,81942.52000000006
2016-12-01,osceola,18967.440000000006
2016-12-01,page,106491.07000000014
2016-12-01,palo alto,35670.49000000009
2016-12-01,plymouth,120991.39000000007
2016-12-01,pocahontas,16930.99999999998
2016-12-01,polk,4127345.46000013
2016-12-01,pottawatta,640243.5600000035
2016-12-01,poweshiek,111743.2900000004
2016-12-01,ringgold,14671.739999999987
2016-12-01,sac,31575.910000000084
2016-12-01,scott,1234992.7799999996
2016-12-01,shelby,42236.49999999999
2016-12-01,sioux,95826.17000000004
2016-12-01,story,480815.8800000021
2016-12-01,tama,49254.679999999935
2016-12-01,taylor,12118.169999999987
2016-12-01,union,83267.02999999993
2016-12-01,van buren,14718.019999999988
2016-12-01,wapello,180640.00000000017
2016-12-01,warren,174282.32000000012
2016-12-01,washington,103923.96000000008
2016-12-01,wayne,7553.59
2016-12-01,webster,221070.1300000004
2016-12-01,winnebago,64180.75999999997
2016-12-01,winneshiek,123661.13000000002
2016-12-01,woodbury,641753.0200000028
2016-12-01,worth,14684.27999999998
2016-12-01,wright,60143.49999999997
2017-01-01,adair,23647.01000000001
2017-01-01,adams,3664.9499999999994
2017-01-01,allamakee,39493.080000000045
2017-01-01,appanoose,34616.90000000006
2017-01-01,audubon,5913.880000000002
2017-01-01,benton,37876.19000000002
2017-01-01,black hawk,818295.540000003
2017-01-01,boone,111328.19999999997
2017-01-01,bremer,80919.65000000011
2017-01-01,buchanan,65204.68999999982
2017-01-01,buena vist,88575.60000000017
2017-01-01,butler,18152.669999999995
2017-01-01,calhoun,20065.709999999977
2017-01-01,carroll,89451.59999999999
2017-01-01,cass,76188.11999999994
2017-01-01,cedar,29759.420000000082
2017-01-01,cerro gord,248690.26999999947
2017-01-01,cherokee,58375.80000000004
2017-01-01,chickasaw,19916.29999999998
2017-01-01,clarke,21054.73000000001
2017-01-01,clay,68677.25999999991
2017-01-01,clayton,36690.77000000004
2017-01-01,clinton,181285.86999999994
2017-01-01,crawford,50028.27999999993
2017-01-01,dallas,120038.60000000024
2017-01-01,davis,4286.180000000001
2017-01-01,decatur,6389.060000000002
2017-01-01,delaware,54916.07
2017-01-01,des moines,197586.82000000024
2017-01-01,dickinson,145220.48999999993
2017-01-01,dubuque,490437.5100000018
2017-01-01,emmet,36838.69
2017-01-01,fayette,59415.44999999996
